시도,시군구,위도,경도
서울특별시,종로구,37.59491732,126.9773213
서울특별시,중구,37.56014356,126.9959681
서울특별시,용산구,37.53138497,126.979907
서울특별시,성동구,37.55102969,127.0410585
서울특별시,광진구,37.54670608,127.0857435
서울특별시,동대문구,37.58195655,127.0548481
서울특별시,중랑구,37.59780259,127.0928803
서울특별시,성북구,37.6057019,127.0175795
서울특별시,강북구,37.64347391,127.011189
서울특별시,도봉구,37.66910208,127.0323688
서울특별시,노원구,37.65251105,127.0750347
서울특별시,은평구,37.61921128,126.9270229
서울특별시,서대문구,37.57778531,126.9390631
서울특별시,마포구,37.55931349,126.90827
서울특별시,양천구,37.52478941,126.8554777
서울특별시,강서구,37.56123543,126.822807
서울특별시,구로구,37.49440543,126.8563006
서울특별시,금천구,37.46056756,126.9008202
서울특별시,영등포구,37.52230829,126.9101695
서울특별시,동작구,37.49887688,126.9516415
서울특별시,관악구,37.46737569,126.9453372
서울특별시,서초구,37.47329547,127.0312203
서울특별시,강남구,37.49664389,127.0629852
서울특별시,송파구,37.50561924,127.115295
서울특별시,강동구,37.55045024,127.1470118
부산광역시,중구,35.10547776,129.0315402
부산광역시,서구,35.10383663,129.0149537
부산광역시,동구,35.12918632,129.0445856
부산광역시,영도구,35.07868795,129.0648096
부산광역시,부산진구,35.16524411,129.0430603
부산광역시,동래구,35.20621244,129.0792201
부산광역시,남구,35.12613679,129.0940064
부산광역시,북구,35.22922961,129.0234398
부산광역시,해운대구,35.19385339,129.1535934
부산광역시,사하구,35.0893484,128.974349
부산광역시,금정구,35.25889074,129.0915307
부산광역시,강서구,35.13834787,128.8924006
부산광역시,연제구,35.18241798,129.0829353
부산광역시,수영구,35.16133146,129.1111627
부산광역시,사상구,35.15803037,128.9865922
부산광역시,기장군,35.29801166,129.200956
대구광역시,중구,35.86653529,128.5936058
대구광역시,동구,35.93442633,128.6856599
대구광역시,서구,35.87500167,128.5496976
대구광역시,남구,35.83517716,128.5853296
대구광역시,북구,35.92892237,128.5772044
대구광역시,수성구,35.83384886,128.6612744
대구광역시,달서구,35.8274831,128.5292121
대구광역시,달성군,35.75957305,128.4982981
인천광역시,중구,37.46753391,126.4805605
인천광역시,동구,37.48298658,126.6397466
인천광역시,남구,37.45259578,126.6646585
인천광역시,연수구,37.39856402,126.6473033
인천광역시,남동구,37.43134886,126.726461
인천광역시,부평구,37.49665874,126.7212094
인천광역시,계양구,37.55729696,126.7346999
인천광역시,서구,37.55780443,126.6563778
인천광역시,강화군,37.71244395,126.4020881
인천광역시,옹진군,37.54401126,125.6360222
광주광역시,동구,35.11738023,126.9494643
광주광역시,서구,35.13569311,126.8507191
광주광역시,남구,35.09405825,126.8567181
광주광역시,북구,35.19324611,126.9254865
광주광역시,광산구,35.16503502,126.7528952
